"No.","Time","Source","Destination","Protocol","Length","Info"
"8","0.016454","104.198.218.190","10.1.10.11","TLSv1.2","128","Application Data"
"23","0.047513","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"37","0.089708","104.198.218.190","10.1.10.11","TLSv1.2","333","Application Data, Application Data"
"60","0.138128","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"97","0.217252","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"101","0.231199","104.198.218.190","10.1.10.11","TLSv1.2","255","Application Data"
"123","0.296450","104.198.218.190","10.1.10.11","TLSv1.2","415","Application Data, Application Data, Application Data"
"132","0.307735","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"157","0.388162","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"179","0.471887","104.198.218.190","10.1.10.11","TLSv1.2","255","Application Data"
"188","0.477298","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"197","0.523174","104.198.218.190","10.1.10.11","TLSv1.2","139","Application Data"
"214","0.557731","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"224","0.592343","104.198.218.190","10.1.10.11","TLSv1.2","342","Application Data, Application Data"
"255","0.648688","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"259","0.658709","104.198.218.190","10.1.10.11","TLSv1.2","338","Application Data, Application Data"
"298","0.728221","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"299","0.730884","104.198.218.190","10.1.10.11","TLSv1.2","341","Application Data, Application Data"
"363","0.817587","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"387","0.831639","104.198.218.190","10.1.10.11","TLSv1.2","255","Application Data"
"453","0.897421","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"454","0.898719","104.198.218.190","10.1.10.11","TLSv1.2","433","Application Data, Application Data, Application Data"
"496","0.987676","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"523","1.078208","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"554","1.157423","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"597","1.247827","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"620","1.327507","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"631","1.373619","104.198.218.190","10.1.10.11","TLSv1.2","283","Application Data"
"672","1.423157","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"733","1.497046","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
