Time,Source,Destination,Length
6.331073,104.198.218.190,10.1.10.11,1474
6.331078,104.198.218.190,10.1.10.11,222
6.397254,104.198.218.190,10.1.10.11,296
6.442248,104.198.218.190,10.1.10.11,212
9.053093,104.198.218.190,10.1.10.11,118
9.244887,104.198.218.190,10.1.10.11,123
9.314115,104.198.218.190,10.1.10.11,125
9.740836,104.198.218.190,10.1.10.11,129
9.815761,104.198.218.190,10.1.10.11,118
9.864596,104.198.218.190,10.1.10.11,262
9.993303,104.198.218.190,10.1.10.11,125
10.039815,104.198.218.190,10.1.10.11,124
10.18305,104.198.218.190,10.1.10.11,125
10.227609,104.198.218.190,10.1.10.11,119
10.280707,104.198.218.190,10.1.10.11,129
10.347166,104.198.218.190,10.1.10.11,129
10.392242,104.198.218.190,10.1.10.11,127
10.436447,104.198.218.190,10.1.10.11,202
10.482413,104.198.218.190,10.1.10.11,203
10.691388,104.198.218.190,10.1.10.11,129
10.737242,104.198.218.190,10.1.10.11,130
10.782165,104.198.218.190,10.1.10.11,203
10.866238,104.198.218.190,10.1.10.11,129
10.919818,104.198.218.190,10.1.10.11,133
11.036282,104.198.218.190,10.1.10.11,142
11.079803,104.198.218.190,10.1.10.11,123
11.281638,104.198.218.190,10.1.10.11,142
11.326216,104.198.218.190,10.1.10.11,289
11.372076,104.198.218.190,10.1.10.11,380
11.428443,104.198.218.190,10.1.10.11,147
11.473946,104.198.218.190,10.1.10.11,291
11.617162,104.198.218.190,10.1.10.11,150
11.661784,104.198.218.190,10.1.10.11,291
11.783605,104.198.218.190,10.1.10.11,150
11.829805,104.198.218.190,10.1.10.11,299
11.874362,104.198.218.190,10.1.10.11,227
11.949897,104.198.218.190,10.1.10.11,150
11.996787,104.198.218.190,10.1.10.11,131
12.14015,104.198.218.190,10.1.10.11,150
12.187607,104.198.218.190,10.1.10.11,135
12.297879,104.198.218.190,10.1.10.11,150
12.341705,104.198.218.190,10.1.10.11,313
12.459551,104.198.218.190,10.1.10.11,159
12.504831,104.198.218.190,10.1.10.11,305
12.559242,104.198.218.190,10.1.10.11,166
12.605458,104.198.218.190,10.1.10.11,122
12.740961,104.198.218.190,10.1.10.11,166
12.78534,104.198.218.190,10.1.10.11,123
12.8437,104.198.218.190,10.1.10.11,166
12.887823,104.198.218.190,10.1.10.11,126
